team,pts-A,pts-H,pts-total,wins,loss,ppg
ATL,4962,4729,9691,40,42,118.2
BOS,4740,4794,9534,61,21,116.3
BKN,4364,4255,8619,26,56,105.1
CHA,4257,4361,8618,19,63,105.1
CHI,4881,4779,9660,39,43,117.8
CLE,4970,5029,9999,64,18,121.9
DAL,4793,4571,9364,39,43,114.2
DEN,4869,5033,9902,50,32,120.8
DET,4755,4716,9471,44,38,115.5
GSW,4719,4612,9331,48,34,113.8
HOU,4690,4682,9372,52,30,114.3
IND,4771,4853,9624,50,32,117.4
LAC,4548,4708,9256,50,32,112.9
LAL,4575,4723,9298,50,32,113.4
MEM,4919,5061,9980,48,34,121.7
MIA,4491,4578,9069,37,45,110.6
MIL,4497,4975,9472,48,34,115.5
MIN,4626,4746,9372,49,33,114.3
NOP,4454,4552,9006,21,61,109.8
NYK,4675,4819,9494,51,31,115.8
OKC,4734,5147,9881,68,14,120.5
ORL,4314,4331,8645,41,41,105.4
PHI,4508,4480,8988,24,58,109.6
PHX,4641,4676,9317,36,46,113.6
POR,4471,4622,9093,36,46,110.9
SAC,4731,4759,9490,40,42,115.7
SAS,4557,4785,9342,34,48,113.9
TOR,4503,4588,9091,30,52,110.9
UTA,4619,4556,9175,17,65,111.9
WAS,4367,4489,8856,18,64,108.0
