date,away,away-score,home-score,home,win,loss
3/18/2025,LAD,4,1,CHC,LAD,CHC
3/19/2025,LAD,6,3,CHC,LAD,CHC
3/27/2025,NYM,1,3,HOU,HOU,NYM
3/27/2025,BAL,12,2,TOR,BAL,TOR
3/27/2025,MIN,3,5,STL,STL,MIN
3/27/2025,CHC,10,6,AZ,CHC,AZ
3/27/2025,DET,4,5,LAD,LAD,DET
3/27/2025,ATH,2,4,SEA,SEA,ATH
3/27/2025,PIT,4,5,MIA,MIA,PIT
3/27/2025,PHI,7,3,WSH,PHI,WSH
3/27/2025,ATL,4,7,SD,SD,ATL
3/27/2025,BOS,5,2,TEX,BOS,TEX
3/27/2025,SF,6,4,CIN,SF,CIN
3/27/2025,CLE,7,4,KC,CLE,KC
3/27/2025,LAA,1,8,CWS,CWS,LAA
3/27/2025,MIL,2,4,NYY,NYY,MIL
3/28/2025,NYM,3,1,HOU,NYM,HOU
3/28/2025,BAL,2,8,TOR,TOR,BAL
3/28/2025,CHC,1,8,AZ,AZ,CHC
3/28/2025,DET,5,8,LAD,LAD,DET
3/28/2025,ATH,7,0,SEA,ATH,SEA
3/28/2025,PIT,4,3,MIA,PIT,MIA
3/28/2025,ATL,3,4,SD,SD,ATL
3/28/2025,BOS,1,4,TEX,TEX,BOS
3/28/2025,COL,2,3,TB,TB,COL
3/29/2025,NYM,1,2,HOU,HOU,NYM
3/29/2025,BAL,9,5,TOR,BAL,TOR
3/29/2025,MIN,1,5,STL,STL,MIN
3/29/2025,CHC,4,3,AZ,CHC,AZ
3/29/2025,DET,3,7,LAD,LAD,DET
3/29/2025,ATH,4,2,SEA,ATH,SEA
3/29/2025,PIT,4,5,MIA,MIA,PIT
3/29/2025,PHI,11,6,WSH,PHI,WSH
3/29/2025,ATL,0,1,SD,SD,ATL
3/29/2025,BOS,3,4,TEX,TEX,BOS
3/29/2025,COL,2,1,TB,COL,TB
3/29/2025,SF,2,3,CIN,CIN,SF
3/29/2025,CLE,3,4,KC,KC,CLE
3/29/2025,LAA,1,0,CWS,LAA,CWS
3/29/2025,MIL,9,20,NYY,NYY,MIL
3/30/2025,BAL,1,3,TOR,TOR,BAL
3/30/2025,MIN,2,9,STL,STL,MIN
3/30/2025,CHC,6,10,AZ,AZ,CHC
3/30/2025,ATH,1,2,SEA,SEA,ATH
