league,region,team
NL,West,Arizona Diamondbacks
AL,West,Athletics
NL,East,Atlanta Braves
AL,East,Baltimore Orioles
AL,East,Boston Red Sox
NL,Central,Chicago Cubs
AL,Central,Chicago White Sox
NL,Central,Cincinnati Reds
AL,Central,Cleveland Guardians
NL,West,Colorado Rockies
AL,Central,Detroit Tigers
AL,West,Houston Astros
AL,Central,Kansas City Royals
AL,West,Los Angeles Angels
NL,West,Los Angeles Dodgers
NL,East,Miami Marlins
NL,Central,Milwaukee Brewers
AL,Central,Minnesota Twins
NL,East,New York Mets
AL,East,New York Yankees
NL,East,Philadelphia Phillies
NL,Central,Pittsburgh Pirates
NL,West,San Diego Padres
NL,West,San Francisco Giants
AL,West,Seattle Mariners
NL,Central,St. Louis Cardinals
AL,East,Tampa Bay Rays
AL,West,Texas Rangers
AL,East,Toronto Blue Jays
NL,East,Washington Nationals
