team,pts-A,pts-H,pts-total,wins,loss
AZ,380,411,791,80,82
ATH,365,368,733,76,86
ATL,383,341,724,76,86
BAL,315,362,677,75,87
BOS,391,395,786,89,73
CHC,402,391,793,92,70
CWS,324,323,647,60,102
CIN,351,365,716,83,79
CLE,329,314,643,88,74
COL,228,369,597,43,119
DET,360,398,758,87,75
HOU,367,319,686,87,75
KC,350,301,651,82,80
LAA,327,346,673,72,90
LAD,378,447,825,93,69
MIA,392,317,709,79,83
MIL,424,382,806,97,65
MIN,325,353,678,70,92
NYM,362,404,766,83,79
NYY,440,409,849,94,68
PHI,346,432,778,96,66
PIT,269,314,583,71,91
SD,338,364,702,90,72
SF,367,338,705,81,81
SEA,414,352,766,90,72
STL,343,346,689,78,84
TB,342,372,714,77,85
TEX,357,327,684,81,81
TOR,367,431,798,94,68
WSH,368,319,687,66,96
