date,away,away-score,home-score,home,win,loss
10/22/2024,NYK,109,132,BOS,BOS,NYK
10/22/2024,MIN,103,110,LAL,LAL,MIN
10/23/2024,IND,115,109,DET,IND,DET
10/23/2024,BKN,116,120,ATL,ATL,BKN
10/23/2024,ORL,116,97,MIA,ORL,MIA
10/23/2024,MIL,124,109,PHI,MIL,PHI
10/23/2024,CLE,136,106,TOR,CLE,TOR
10/23/2024,CHA,110,105,HOU,CHA,HOU
10/23/2024,CHI,111,123,NOP,NOP,CHI
10/23/2024,MEM,126,124,UTA,MEM,UTA
10/23/2024,PHX,116,113,LAC,PHX,LAC
10/23/2024,GSW,140,104,POR,GSW,POR
10/24/2024,BOS,122,102,WAS,BOS,WAS
10/24/2024,SAS,109,120,DAL,DAL,SAS
10/24/2024,MIN,117,115,SAC,MIN,SAC
10/24/2024,OKC,102,87,DEN,OKC,DEN
10/25/2024,BKN,101,116,ORL,ORL,BKN
10/25/2024,PHI,107,115,TOR,TOR,PHI
10/25/2024,CHA,120,125,ATL,ATL,CHA
10/25/2024,DET,101,113,CLE,CLE,DET
10/25/2024,IND,98,123,NYK,NYK,IND
10/25/2024,MEM,108,128,HOU,HOU,MEM
10/25/2024,CHI,133,122,MIL,CHI,MIL
10/25/2024,GSW,127,86,UTA,GSW,UTA
10/25/2024,PHX,116,123,LAL,LAL,PHX
10/25/2024,NOP,105,103,POR,NOP,POR
10/26/2024,LAC,109,104,DEN,LAC,DEN
10/26/2024,CLE,135,116,WAS,CLE,WAS
10/26/2024,BOS,124,118,DET,BOS,DET
10/26/2024,MIA,114,106,CHA,MIA,CHA
10/26/2024,ORL,111,124,MEM,MEM,ORL
10/26/2024,TOR,101,112,MIN,MIN,TOR
10/26/2024,OKC,114,95,CHI,OKC,CHI
10/26/2024,HOU,106,109,SAS,SAS,HOU
10/26/2024,DAL,102,114,PHX,PHX,DAL
10/26/2024,SAC,127,131,LAL,LAL,SAC
10/27/2024,PHI,118,114,IND,PHI,IND
10/27/2024,NOP,103,125,POR,POR,NOP
10/27/2024,MIL,102,115,BKN,BKN,MIL
10/27/2024,ATL,104,128,OKC,OKC,ATL
10/27/2024,LAC,112,104,GSW,LAC,GSW
10/28/2024,IND,115,119,ORL,ORL,IND
10/28/2024,WAS,121,119,ATL,WAS,ATL
10/28/2024,MIL,108,119,BOS,BOS,MIL
10/28/2024,DEN,127,125,TOR,DEN,TOR
10/28/2024,DET,98,106,MIA,MIA,DET
10/28/2024,CLE,110,104,NYK,CLE,NYK
10/28/2024,HOU,106,101,SAS,HOU,SAS
10/28/2024,CHI,126,123,MEM,CHI,MEM
10/28/2024,UTA,102,110,DAL,DAL,UTA
10/28/2024,POR,98,111,SAC,SAC,POR
10/28/2024,LAL,105,109,PHX,PHX,LAL
10/29/2024,DEN,144,139,BKN,DEN,BKN
10/29/2024,DAL,120,114,MIN,DAL,MIN
10/29/2024,SAC,113,96,UTA,SAC,UTA
10/29/2024,NOP,106,124,GSW,GSW,NOP
10/30/2024,DET,105,95,PHI,DET,PHI
10/30/2024,ATL,120,133,WAS,WAS,ATL
10/30/2024,BOS,132,135,IND,IND,BOS
10/30/2024,LAL,110,134,CLE,CLE,LAL
10/30/2024,TOR,133,138,CHA,CHA,TOR
10/30/2024,NYK,116,107,MIA,NYK,MIA
10/30/2024,ORL,99,102,CHI,CHI,ORL
10/30/2024,BKN,119,106,MEM,BKN,MEM
10/30/2024,SAS,93,105,OKC,OKC,SAS
10/30/2024,NOP,89,104,GSW,GSW,NOP
10/30/2024,POR,106,105,LAC,POR,LAC
10/31/2024,MIL,99,122,MEM,MEM,MIL
10/31/2024,HOU,108,102,DAL,HOU,DAL
10/31/2024,SAS,106,88,UTA,SAS,UTA
10/31/2024,PHX,125,119,LAC,PHX,LAC
11/1/2024,BOS,124,109,CHA,BOS,CHA
11/1/2024,ORL,109,120,CLE,CLE,ORL
11/1/2024,NYK,128,98,DET,NYK,DET
11/1/2024,SAC,123,115,ATL,SAC,ATL
11/1/2024,CHI,112,120,BKN,BKN,CHI
11/1/2024,LAL,131,125,TOR,LAL,TOR
11/1/2024,IND,118,125,NOP,NOP,IND
11/1/2024,DEN,116,119,MIN,MIN,DEN
11/1/2024,OKC,137,114,POR,OKC,POR
11/2/2024,BOS,113,103,CHA,BOS,CHA
11/2/2024,MEM,124,107,PHI,MEM,PHI
11/2/2024,SAC,128,131,TOR,TOR,SAC
11/2/2024,GSW,127,121,HOU,GSW,HOU
11/2/2024,CLE,114,113,MIL,CLE,MIL
11/2/2024,MIN,103,113,SAS,SAS,MIN
11/2/2024,MIA,118,98,WAS,MIA,WAS
11/2/2024,UTA,103,129,DEN,DEN,UTA
11/2/2024,POR,97,103,PHX,PHX,POR
11/2/2024,OKC,105,92,LAC,OKC,LAC
11/3/2024,DET,106,92,BKN,DET,BKN
11/3/2024,ATL,126,111,NOP,ATL,NOP
11/3/2024,ORL,85,108,DAL,DAL,ORL
11/4/2024,MIL,114,116,CLE,CLE,MIL
11/4/2024,GSW,125,112,WAS,GSW,WAS
11/4/2024,LAL,103,115,DET,DET,LAL
11/4/2024,BOS,123,93,ATL,BOS,ATL
11/4/2024,MEM,104,106,BKN,BKN,MEM
11/4/2024,SAC,111,110,MIA,SAC,MIA
11/4/2024,UTA,135,126,CHI,UTA,CHI
11/4/2024,NYK,97,109,HOU,HOU,NYK
11/4/2024,CHA,93,114,MIN,MIN,CHA
11/4/2024,ORL,86,102,OKC,OKC,ORL
11/4/2024,POR,118,100,NOP,POR,NOP
11/4/2024,IND,134,127,DAL,IND,DAL
11/4/2024,TOR,119,121,DEN,DEN,TOR
11/4/2024,PHI,116,118,PHX,PHX,PHI
11/4/2024,SAS,104,113,LAC,LAC,SAS
11/6/2024,DET,107,108,CHA,CHA,DET
11/6/2024,ORL,111,118,IND,IND,ORL
11/6/2024,NYK,116,121,ATL,ATL,NYK
11/6/2024,GSW,118,112,BOS,GSW,BOS
11/6/2024,SAS,100,127,HOU,HOU,SAS
11/6/2024,LAL,114,131,MEM,MEM,LAL
11/6/2024,CLE,131,122,NOP,CLE,NOP
11/6/2024,CHI,99,119,DAL,DAL,CHI
11/6/2024,OKC,122,124,DEN,DEN,OKC
11/6/2024,MIA,112,115,PHX,PHX,MIA
11/6/2024,PHI,98,110,LAC,LAC,PHI
11/6/2024,TOR,107,122,SAC,SAC,TOR
11/7/2024,MIN,135,119,CHI,MIN,CHI
11/7/2024,UTA,100,123,MIL,MIL,UTA
11/7/2024,POR,105,118,SAS,SAS,POR
11/8/2024,IND,83,103,CHA,CHA,IND
11/8/2024,ATL,121,122,DET,DET,ATL
11/8/2024,NOP,88,115,ORL,ORL,NOP
11/8/2024,BKN,104,108,BOS,BOS,BKN
11/8/2024,GSW,117,136,CLE,CLE,GSW
11/8/2024,PHX,114,113,DAL,PHX,DAL
11/8/2024,MIL,94,116,NYK,NYK,MIL
11/8/2024,WAS,104,128,MEM,MEM,WAS
11/8/2024,HOU,107,126,OKC,OKC,HOU
11/8/2024,MIA,122,135,DEN,DEN,MIA
11/8/2024,POR,102,127,MIN,MIN,POR
11/8/2024,PHI,106,116,LAL,LAL,PHI
11/8/2024,LAC,107,98,SAC,LAC,SAC
11/9/2024,UTA,111,110,SAS,UTA,SAS
11/9/2024,CHI,125,113,ATL,CHI,ATL
11/9/2024,BKN,100,105,CLE,CLE,BKN
11/9/2024,TOR,103,105,LAC,LAC,TOR
11/10/2024,HOU,101,99,DET,HOU,DET
11/10/2024,BOS,113,107,MIL,BOS,MIL
11/10/2024,NYK,121,132,IND,IND,NYK
11/10/2024,WAS,94,121,ORL,ORL,WAS
11/10/2024,MIA,95,94,MIN,MIA,MIN
11/10/2024,GSW,127,116,OKC,GSW,OKC
11/10/2024,CHA,105,107,PHI,PHI,CHA
11/10/2024,DAL,120,122,DEN,DEN,DAL
11/10/2024,SAC,127,118,PHX,SAC,PHX
11/10/2024,MEM,134,89,POR,MEM,POR
11/10/2024,TOR,103,123,LAL,LAL,TOR
11/11/2024,CLE,119,113,CHI,CLE,CHI
11/11/2024,WAS,92,107,HOU,HOU,WAS
11/11/2024,BKN,107,105,NOP,BKN,NOP
11/11/2024,LAC,128,134,OKC,OKC,LAC
11/11/2024,SAC,96,116,SAS,SAS,SAC
11/12/2024,ATL,117,116,BOS,ATL,BOS
11/12/2024,MIA,121,123,DET,DET,MIA
11/12/2024,CHA,89,114,ORL,ORL,CHA
11/12/2024,NYK,111,99,PHI,NYK,PHI
11/12/2024,TOR,85,99,MIL,MIL,TOR
11/12/2024,PHX,120,112,UTA,PHX,UTA
11/12/2024,DAL,117,120,GSW,GSW,DAL
11/12/2024,MIN,108,122,POR,POR,MIN
11/13/2024,IND,90,94,ORL,ORL,IND
11/13/2024,BOS,139,114,BKN,BOS,BKN
11/13/2024,CHI,124,123,NYK,CHI,NYK
11/13/2024,NOP,88,106,OKC,OKC,NOP
11/13/2024,CLE,114,106,PHI,CLE,PHI
11/13/2024,LAC,103,111,HOU,HOU,LAC
11/13/2024,DET,120,127,MIL,MIL,DET
11/13/2024,WAS,130,139,SAS,SAS,WAS
11/13/2024,MEM,123,128,LAL,LAL,MEM
11/13/2024,MIN,98,106,POR,POR,MIN
11/13/2024,PHX,104,127,SAC,SAC,PHX
11/14/2024,DAL,113,115,UTA,UTA,DAL
11/15/2024,MIA,124,111,IND,MIA,IND
11/15/2024,PHI,86,98,ORL,ORL,PHI
11/15/2024,DET,99,95,TOR,DET,TOR
11/15/2024,WAS,117,129,ATL,ATL,WAS
11/15/2024,CHI,126,144,CLE,CLE,CHI
11/15/2024,BKN,122,124,NYK,NYK,BKN
11/15/2024,LAL,120,115,SAS,LAL,SAS
11/15/2024,LAC,104,125,HOU,HOU,LAC
11/15/2024,DEN,94,101,NOP,NOP,DEN
11/15/2024,PHX,83,99,OKC,OKC,PHX
11/15/2024,MEM,118,123,GSW,GSW,MEM
11/15/2024,MIN,130,126,SAC,MIN,SAC
11/16/2024,MIL,114,115,CHA,CHA,MIL
11/16/2024,TOR,123,126,BOS,BOS,TOR
11/16/2024,LAL,104,99,NOP,LAL,NOP
11/16/2024,SAS,93,110,DAL,DAL,SAS
11/16/2024,UTA,117,121,SAC,SAC,UTA
11/17/2024,PHX,117,120,MIN,MIN,PHX
11/17/2024,MIA,110,119,IND,IND,MIA
11/17/2024,CHA,114,128,CLE,CLE,CHA
11/17/2024,DEN,90,105,MEM,MEM,DEN
11/17/2024,ATL,110,114,POR,POR,ATL
11/17/2024,DET,124,104,WAS,DET,WAS
11/17/2024,HOU,143,107,CHI,HOU,CHI
11/17/2024,BKN,104,114,NYK,NYK,BKN
11/17/2024,DAL,121,119,OKC,DAL,OKC
11/17/2024,UTA,105,116,LAC,LAC,UTA
11/18/2024,CHI,122,112,DET,CHI,DET
