league,region,team
EC,Southeast,Atlanta Hawks
EC,Atlantic,Boston Celtics
EC,Atlantic,Brooklyn Nets
EC,Southeast,Charlotte Hornets
EC,Central,Chicago Bulls
EC,Central,Cleveland Cavaliers
WC,Southwest,Dallas Mavericks
WC,Northwest,Denver Nuggets
EC,Central,Detroit Pistons
WC,Pacific,Golden State Warriors
WC,Southwest,Houston Rockets
EC,Central,Indiana Pacers
WC,Pacific,LA Clippers
WC,Pacific,Los Angeles Lakers
WC,Southwest,Memphis Grizzlies
EC,Southeast,Miami Heat
EC,Central,Milwaukee Bucks
WC,Northwest,Minnesota Timberwolves
WC,Southwest,New Orleans Pelicans
EC,Atlantic,New York Knicks
WC,Northwest,Oklahoma City Thunder
EC,Southeast,Orlando Magic
EC,Atlantic,Philadelphia 76ers
WC,Pacific,Phoenix Suns
WC,Northwest,Portland Trail Blazers
WC,Pacific,Sacramento Kings
WC,Southwest,San Antonio Spurs
EC,Atlantic,Toronto Raptors
WC,Northwest,Utah Jazz
EC,Southeast,Washington Wizards
