date,away,away-score,home-score,home,win,loss
9/6/2024,BLT,20,27,KC,KC,BLT
9/7/2024,GB,29,34,PHI,PHI,GB
9/8/2024,PIT,18,10,ATL,PIT,ATL
9/8/2024,ARI,28,34,BUF,BUF,ARI
9/8/2024,TEN,17,24,CHI,CHI,TEN
9/8/2024,NE,16,10,CIN,NE,CIN
9/8/2024,HST,29,27,IND,HST,IND
9/8/2024,JAX,17,20,MIA,MIA,JAX
9/8/2024,CAR,10,47,NO,NO,CAR
9/8/2024,MIN,28,6,NYG,MIN,NYG
9/8/2024,LV,10,22,LAC,LAC,LV
9/8/2024,DEN,20,26,SEA,SEA,DEN
9/8/2024,DAL,33,17,CLV,DAL,CLV
9/8/2024,WAS,20,37,TB,TB,WAS
9/9/2024,LAR,20,26,DET,DET,LAR
9/10/2024,NYJ,19,32,SF,SF,NYJ
9/13/2024,BUF,31,10,MIA,BUF,MIA
9/15/2024,LV,26,23,BLT,LV,BLT
9/15/2024,LAC,26,3,CAR,LAC,CAR
9/15/2024,NO,44,19,DAL,NO,DAL
9/15/2024,TB,20,16,DET,TB,DET
9/15/2024,IND,10,16,GB,GB,IND
9/15/2024,CLV,18,13,JAX,CLV,JAX
9/15/2024,SF,17,23,MIN,MIN,SF
9/15/2024,SEA,23,20,NE,SEA,NE
9/15/2024,NYJ,24,17,TEN,NYJ,TEN
9/15/2024,NYG,18,21,WAS,WAS,NYG
9/15/2024,LAR,10,41,ARI,ARI,LAR
9/15/2024,PIT,13,6,DEN,PIT,DEN
9/15/2024,CIN,25,26,KC,KC,CIN
9/16/2024,CHI,13,19,HST,HST,CHI
9/17/2024,ATL,22,21,PHI,ATL,PHI
9/20/2024,NE,3,24,NYJ,NYJ,NE
9/22/2024,NYG,21,15,CLV,NYG,CLV
9/22/2024,CHI,16,21,IND,IND,CHI
9/22/2024,HST,7,34,MIN,MIN,HST
9/22/2024,PHI,15,12,NO,PHI,NO
9/22/2024,LAC,10,20,PIT,PIT,LAC
9/22/2024,DEN,26,7,TB,DEN,TB
9/22/2024,GB,30,14,TEN,GB,TEN
9/22/2024,CAR,36,22,LV,CAR,LV
9/22/2024,MIA,3,24,SEA,SEA,MIA
9/22/2024,DET,20,13,ARI,DET,ARI
9/22/2024,BLT,28,25,DAL,BLT,DAL
9/22/2024,SF,24,27,LAR,LAR,SF
9/23/2024,KC,22,17,ATL,KC,ATL
9/23/2024,JAX,10,47,BUF,BUF,JAX
9/24/2024,WAS,38,33,CIN,WAS,CIN
9/27/2024,DAL,20,15,NYG,DAL,NYG
9/29/2024,NO,24,26,ATL,ATL,NO
9/29/2024,CIN,34,24,CAR,CIN,CAR
9/29/2024,LAR,18,24,CHI,CHI,LAR
9/29/2024,MIN,31,29,GB,MIN,GB
9/29/2024,JAX,20,24,HST,HST,JAX
9/29/2024,PIT,24,27,IND,IND,PIT
9/29/2024,DEN,10,9,NYJ,DEN,NYJ
9/29/2024,PHI,16,33,TB,TB,PHI
9/29/2024,WAS,42,14,ARI,WAS,ARI
9/29/2024,NE,13,30,SF,SF,NE
9/29/2024,KC,17,10,LAC,KC,LAC
9/29/2024,CLV,16,20,LV,LV,CLV
9/30/2024,BUF,10,35,BLT,BLT,BUF
9/30/2024,TEN,31,12,MIA,TEN,MIA
10/1/2024,SEA,29,42,DET,DET,SEA
10/4/2024,TB,30,36,ATL,ATL,TB
10/6/2024,NYJ,17,23,MIN,MIN,NYJ
10/6/2024,CAR,10,36,CHI,CHI,CAR
10/6/2024,BLT,41,38,CIN,BLT,CIN
10/6/2024,BUF,20,23,HST,HST,BUF
10/6/2024,IND,34,37,JAX,JAX,IND
10/6/2024,MIA,15,10,NE,MIA,NE
10/6/2024,CLV,13,34,WAS,WAS,CLV
10/6/2024,LV,18,34,DEN,DEN,LV
10/6/2024,ARI,24,23,SF,ARI,SF
10/6/2024,GB,24,19,LAR,GB,LAR
10/6/2024,NYG,29,20,SEA,NYG,SEA
10/7/2024,DAL,20,17,PIT,DAL,PIT
10/8/2024,NO,13,26,KC,KC,NO
10/11/2024,SF,36,24,SEA,SF,SEA
10/13/2024,JAX,16,35,CHI,CHI,JAX
10/13/2024,WAS,23,30,BLT,BLT,WAS
10/13/2024,ARI,13,34,GB,GB,ARI
10/13/2024,HST,41,21,NE,HST,NE
10/13/2024,TB,51,27,NO,TB,NO
10/13/2024,CLV,16,20,PHI,PHI,CLV
10/13/2024,IND,20,17,TEN,IND,TEN
10/13/2024,LAC,23,16,DEN,LAC,DEN
10/13/2024,PIT,32,13,LV,PIT,LV
10/13/2024,ATL,38,20,CAR,ATL,CAR
10/13/2024,DET,47,9,DAL,DET,DAL
10/14/2024,CIN,17,7,NYG,CIN,NYG
10/15/2024,BUF,23,20,NYJ,BUF,NYJ
10/18/2024,DEN,33,10,NO,DEN,NO
10/20/2024,NE,16,32,JAX,JAX,NE
10/20/2024,SEA,34,14,ATL,SEA,ATL
10/20/2024,TEN,10,34,BUF,BUF,TEN
10/20/2024,CIN,21,14,CLV,CIN,CLV
10/20/2024,HST,22,24,GB,GB,HST
10/20/2024,MIA,10,16,IND,IND,MIA
10/20/2024,DET,31,29,MIN,DET,MIN
10/20/2024,PHI,28,3,NYG,PHI,NYG
10/20/2024,LV,15,20,LAR,LAR,LV
10/20/2024,CAR,7,40,WAS,WAS,CAR
10/20/2024,KC,28,18,SF,KC,SF
10/21/2024,NYJ,15,37,PIT,PIT,NYJ
10/22/2024,BLT,41,31,TB,BLT,TB
10/22/2024,LAC,15,17,ARI,ARI,LAC
10/25/2024,MIN,20,30,LAR,LAR,MIN
10/27/2024,PHI,37,17,CIN,PHI,CIN
10/27/2024,BLT,24,29,CLV,CLV,BLT
10/27/2024,TEN,14,52,DET,DET,TEN
10/27/2024,IND,20,23,HST,HST,IND
10/27/2024,GB,30,27,JAX,GB,JAX
10/27/2024,ARI,28,27,MIA,ARI,MIA
10/27/2024,NYJ,22,25,NE,NE,NYJ
10/27/2024,ATL,31,26,TB,ATL,TB
10/27/2024,NO,8,26,LAC,LAC,NO
10/27/2024,BUF,31,10,SEA,BUF,SEA
10/27/2024,CAR,14,28,DEN,DEN,CAR
10/27/2024,KC,27,20,LV,KC,LV
10/27/2024,CHI,15,18,WAS,WAS,CHI
10/28/2024,DAL,24,30,SF,SF,DAL
10/29/2024,NYG,18,26,PIT,PIT,NYG
11/1/2024,HST,13,21,NYJ,NYJ,HST
11/3/2024,DAL,21,27,ATL,ATL,DAL
11/3/2024,DEN,10,41,BLT,BLT,DEN
11/3/2024,MIA,27,30,BUF,BUF,MIA
11/3/2024,NO,22,23,CAR,CAR,NO
11/3/2024,LV,24,41,CIN,CIN,LV
11/3/2024,LAC,27,10,CLV,LAC,CLV
11/3/2024,WAS,27,22,NYG,WAS,NYG
11/3/2024,NE,17,20,TEN,TEN,NE
11/3/2024,JAX,23,28,PHI,PHI,JAX
11/3/2024,CHI,9,29,ARI,ARI,CHI
11/3/2024,DET,24,14,GB,DET,GB
11/3/2024,LAR,26,20,SEA,LAR,SEA
11/4/2024,IND,13,21,MIN,MIN,IND
11/5/2024,TB,24,30,KC,KC,TB
11/8/2024,CIN,34,35,BLT,BLT,CIN
11/10/2024,NYG,17,20,CAR,CAR,NYG
11/10/2024,NE,19,3,CHI,NE,CHI
11/10/2024,BUF,30,20,IND,BUF,IND
11/10/2024,MIN,12,7,JAX,MIN,JAX
11/10/2024,DEN,14,16,KC,KC,DEN
11/10/2024,ATL,17,20,NO,NO,ATL
11/10/2024,SF,23,20,TB,SF,TB
11/10/2024,PIT,28,27,WAS,PIT,WAS
11/10/2024,TEN,17,27,LAC,LAC,TEN
11/10/2024,NYJ,6,31,ARI,ARI,NYJ
11/10/2024,PHI,34,6,DAL,PHI,DAL
11/11/2024,DET,26,23,HST,DET,HST
11/12/2024,MIA,23,15,LAR,MIA,LAR
11/15/2024,WAS,18,26,PHI,PHI,WAS
11/17/2024,IND,28,27,NYJ,IND,NYJ
11/17/2024,GB,20,19,CHI,GB,CHI
11/17/2024,JAX,6,52,DET,DET,JAX
11/17/2024,LV,19,34,MIA,MIA,LV
11/17/2024,LAR,28,22,NE,LAR,NE
11/17/2024,CLV,14,35,NO,NO,CLV
11/17/2024,BLT,16,18,PIT,PIT,BLT
11/17/2024,MIN,23,13,TEN,MIN,TEN
11/17/2024,ATL,6,38,DEN,DEN,ATL
11/17/2024,SEA,20,17,SF,SEA,SF
11/17/2024,KC,21,30,BUF,BUF,KC
11/18/2024,CIN,27,34,LAC,LAC,CIN
11/19/2024,HST,34,10,DAL,HST,DAL
11/22/2024,PIT,19,24,CLV,CLV,PIT
11/24/2024,KC,30,27,CAR,KC,CAR
11/24/2024,MIN,30,27,CHI,MIN,CHI
11/24/2024,TEN,32,27,HST,TEN,HST
11/24/2024,DET,24,6,IND,DET,IND
11/24/2024,NE,15,34,MIA,MIA,NE
11/24/2024,TB,30,7,NYG,TB,NYG
11/24/2024,DAL,34,26,WAS,DAL,WAS
11/24/2024,DEN,29,19,LV,DEN,LV
11/24/2024,SF,10,38,GB,GB,SF
11/24/2024,ARI,6,16,SEA,SEA,ARI
11/25/2024,PHI,37,20,LAR,PHI,LAR
11/26/2024,BLT,30,23,LAC,BLT,LAC
11/28/2024,CHI,20,23,DET,DET,CHI
11/28/2024,NYG,20,27,DAL,DAL,NYG
11/29/2024,MIA,17,30,GB,GB,MIA
11/29/2024,LV,17,19,KC,KC,LV
12/1/2024,LAC,17,13,ATL,LAC,ATL
12/1/2024,PIT,44,38,CIN,PIT,CIN
12/1/2024,HST,23,20,JAX,HST,JAX
12/1/2024,ARI,22,23,MIN,MIN,ARI
12/1/2024,IND,25,24,NE,IND,NE
12/1/2024,SEA,26,21,NYJ,SEA,NYJ
12/1/2024,TEN,19,42,WAS,WAS,TEN
12/1/2024,TB,26,23,CAR,TB,CAR
12/1/2024,LAR,21,14,NO,LAR,NO
12/1/2024,PHI,24,19,BLT,PHI,BLT
12/2/2024,SF,10,35,BUF,BUF,SF
12/3/2024,CLV,32,41,DEN,DEN,CLV
12/6/2024,GB,31,34,DET,DET,GB
12/8/2024,NYJ,26,32,MIA,MIA,NYJ
12/8/2024,ATL,21,42,MIN,MIN,ATL
12/8/2024,NO,14,11,NYG,NO,NYG
12/8/2024,CAR,16,22,PHI,PHI,CAR
12/8/2024,CLV,14,27,PIT,PIT,CLV
12/8/2024,LV,13,28,TB,TB,LV
12/8/2024,JAX,10,6,TEN,JAX,TEN
12/8/2024,SEA,30,18,ARI,SEA,ARI
12/8/2024,BUF,42,44,LAR,LAR,BUF
12/8/2024,CHI,13,38,SF,SF,CHI
12/9/2024,LAC,17,19,KC,KC,LAC
12/10/2024,CIN,27,20,DAL,CIN,DAL
12/13/2024,LAR,12,6,SF,LAR,SF
12/15/2024,DAL,30,14,CAR,DAL,CAR
12/15/2024,KC,21,7,CLV,KC,CLV
12/15/2024,MIA,12,20,HST,HST,MIA
12/15/2024,NYJ,32,25,JAX,NYJ,JAX
12/15/2024,WAS,20,19,NO,WAS,NO
12/15/2024,BLT,35,14,NYG,BLT,NYG
12/15/2024,CIN,37,27,TEN,CIN,TEN
12/15/2024,NE,17,30,ARI,ARI,NE
12/15/2024,IND,13,31,DEN,DEN,IND
12/15/2024,BUF,48,42,DET,BUF,DET
12/15/2024,TB,40,17,LAC,TB,LAC
12/15/2024,PIT,13,27,PHI,PHI,PIT
12/16/2024,GB,30,13,SEA,GB,SEA
12/17/2024,CHI,12,30,MIN,MIN,CHI
12/17/2024,ATL,15,9,LV,ATL,LV
12/20/2024,DEN,27,34,LAC,LAC,DEN
12/21/2024,HST,19,27,KC,KC,HST
12/21/2024,PIT,17,34,BLT,BLT,PIT
12/22/2024,NYG,7,34,ATL,ATL,NYG
12/22/2024,ARI,30,36,CAR,CAR,ARI
12/22/2024,DET,34,17,CHI,DET,CHI
12/22/2024,TEN,30,38,IND,IND,TEN
12/22/2024,LAR,19,9,NYJ,LAR,NYJ
12/22/2024,PHI,33,36,WAS,WAS,PHI
12/22/2024,CLV,6,24,CIN,CIN,CLV
12/22/2024,MIN,27,24,SEA,MIN,SEA
12/22/2024,JAX,14,19,LV,LV,JAX
12/22/2024,SF,17,29,MIA,MIA,SF
12/22/2024,NE,21,24,BUF,BUF,NE
12/23/2024,TB,24,26,DAL,DAL,TB
12/24/2024,NO,0,34,GB,GB,NO
12/25/2024,KC,29,10,PIT,KC,PIT
12/25/2024,BLT,31,2,HST,BLT,HST
12/27/2024,SEA,6,3,CHI,SEA,CHI
12/28/2024,LAC,40,7,NE,LAC,NE
12/28/2024,DEN,24,30,CIN,CIN,DEN
12/29/2024,ARI,9,13,LAR,LAR,ARI
12/29/2024,IND,33,45,NYG,NYG,IND
12/29/2024,DAL,7,41,PHI,PHI,DAL
12/29/2024,NYJ,14,40,BUF,BUF,NYJ
12/29/2024,TEN,13,20,JAX,JAX,TEN
12/29/2024,LV,25,10,NO,LV,NO
12/29/2024,CAR,14,48,TB,TB,CAR
12/29/2024,MIA,20,3,CLV,MIA,CLV
12/29/2024,GB,25,27,MIN,MIN,GB
12/30/2024,ATL,24,30,WAS,WAS,ATL
12/31/2024,DET,40,34,SF,DET,SF
1/4/2025,CLV,10,35,BLT,BLT,CLV
1/5/2025,CIN,19,17,PIT,CIN,PIT
1/5/2025,CAR,44,38,ATL,CAR,ATL
1/5/2025,WAS,23,19,DAL,WAS,DAL
1/5/2025,CHI,24,22,GB,CHI,GB
1/5/2025,JAX,23,26,IND,IND,JAX
1/5/2025,BUF,16,23,NE,NE,BUF
1/5/2025,NYG,13,20,PHI,PHI,NYG
1/5/2025,NO,19,27,TB,TB,NO
1/5/2025,HST,23,14,TEN,HST,TEN
1/5/2025,SF,24,47,ARI,ARI,SF
1/5/2025,KC,0,38,DEN,DEN,KC
1/5/2025,SEA,30,25,LAR,SEA,LAR
1/5/2025,LAC,34,20,LV,LAC,LV
1/5/2025,MIA,20,32,NYJ,NYJ,MIA
1/6/2025,MIN,9,31,DET,DET,MIN
