league,region,team
NFC,West,Arizona Cardinals
NFC,South,Atlanta Falcons
AFC,North,Baltimore Ravens
AFC,East,Buffalo Bills
NFC,South,Carolina Panthers
NFC,North,Chicago Bears
AFC,North,Cincinnati Bengals
AFC,North,Cleveland Browns
NFC,East,Dallas Cowboys
AFC,West,Denver Broncos
NFC,North,Detroit Lions
NFC,North,Green Bay Packers
AFC,South,Houston Texans
AFC,South,Indianapolis Colts
AFC,South,Jacksonville Jaguars
AFC,West,Kansas City Chiefs
AFC,West,Las Vegas Raiders
AFC,West,Los Angeles Chargers
NFC,West,Los Angeles Rams
AFC,East,Miami Dolphins
NFC,North,Minnesota Vikings
AFC,East,New England Patriots
NFC,South,New Orleans Saints
NFC,East,New York Giants
AFC,East,New York Jets
NFC,East,Philadelphia Eagles
AFC,North,Pittsburgh Steelers
NFC,West,San Francisco 49ers
NFC,West,Seattle Seahawks
NFC,South,Tampa Bay Buccaneers
AFC,South,Tennessee Titans
NFC,East,Washington Commanders
