Team,Wins,Wins Rank,Direct Rank,Nonlinear Rank
Oklahoma City Thunder,68,1,1,1
Cleveland Cavaliers,64,2,2,2
Boston Celtics,61,3,3,3
Houston Rockets,52,4,6,7
New York Knicks,51,5,10,8
LA Clippers,50,6,5,4
Denver Nuggets,50,6,8,9
Indiana Pacers,50,6,13,12
Los Angeles Lakers,50,6,14,14
Minnesota Timberwolves,49,7,4,6
Memphis Grizzlies,48,8,7,5
Golden State Warriors,48,8,9,10
Milwaukee Bucks,48,8,11,11
Detroit Pistons,44,9,12,13
Orlando Magic,41,10,18,18
Sacramento Kings,40,11,15,16
Atlanta Hawks,40,11,19,21
Dallas Mavericks,39,12,17,17
Chicago Bulls,39,12,20,20
Miami Heat,37,13,16,15
Phoenix Suns,36,14,22,23
Portland Trail Blazers,36,14,23,19
San Antonio Spurs,34,15,21,22
Toronto Raptors,30,16,24,24
Brooklyn Nets,26,17,26,26
Philadelphia 76ers,24,18,25,25
New Orleans Pelicans,21,19,28,29
Charlotte Hornets,19,20,29,28
Washington Wizards,18,21,30,30
Utah Jazz,17,22,27,27
